status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Júlio,strategy_offensive,19,8,0.0013930797576904297,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 6}"
Vencedor,Júlio,strategy_offensive,9,1,0.0002548694610595703,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 8, 'Douglas': 1}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00015306472778320312,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 6, 'Bia': 5, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,39,19,0.0009009838104248047,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 6, 'Douglas': 2}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.0002522468566894531,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 15, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,33,19,0.0008847713470458984,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 3, 'Douglas': 2}"
Vencedor,Júlio,strategy_offensive,13,5,0.0002925395965576172,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 1, 'Douglas': 1}"
Vencedor,Júlio,strategy_offensive,25,9,0.0005705356597900391,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 8}"
Vencedor,Bia,strategy_conservation,7,0,0.0001838207244873047,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 2, 'Bia': 0, 'Douglas': 7}"
Vencedor,Júlio,strategy_offensive,9,1,0.00023126602172851562,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 8, 'Douglas': 6}"
